鴦	鸯
棖	枨
棗	枣
棡	㭎
楊	杨
榮	荣
譽	誉
銜	衔
榦	干	榦
斂	敛
討	讨
檳	槟
櫻	樱
羨	羡
瞞	瞒
欽	钦
歐	欧
驟	骤
鱔	鳝
禍	祸
殘	残
殞	殒
殭	僵
殮	殓
殯	殡
鐧	锏
殽	淆	肴
毆	殴
嬰	婴
氹	凼	氹
氾	泛
濫	滥
漬	渍
濁	浊
銘	铭
洶	汹
謹	谨
瀋	沈
灕	漓
淒	凄	淒
淥	渌
礪	砺
淵	渊
鬧	闹
艦	舰
渙	涣
渦	涡
燦	灿
渾	浑
湊	凑
滄	沧
滙	汇
滷	卤
繹	绎
漚	沤
潑	泼
澇	涝
澗	涧
澤	泽
澱	淀
濺	溅
濾	滤
瀏	浏
瀕	濒
瀠	潆
餃	饺
燄	焰
鉤	钩
鐮	镰
鑽	钻
燶	㶶
毀	毁
馳	驰
請	请
甚	什	甚
釀	酿
罌	罂
韌	韧
懣	懑
熒	荧
疿	痱
騰	腾
燉	炖	燉
漿	浆
竊	窃
縫	缝
軋	轧
牠	它	牠
牽	牵
瀾	澜
賓	宾
獪	狯
狹	狭
狽	狈
謎	谜
獅	狮
闢	辟
獵	猎
獷	犷
燁	烨
璽	玺
鐲	镯
璫	珰
騮	骝
瓏	珑
瑒	玚
璉	琏
瑣	琐
瑪	玛
璦	瑷
琿	珲
迴	回
甕	瓮
筍	笋
耶	耶	爷
籃	篮
鏽	锈	鏽
繩	绳
癬	癣
憊	惫
歿	殁
纏	缠
瘋	疯
痾	痾	疴
瘀	瘀	淤
癒	愈
癡	痴
癰	痈
癱	瘫
鯧	鲳
隸	隶
誤	误
矇	蒙	矇
睜	睁
瞇	眯
査	查	査
矚	瞩
薳	䓕	薳
矯	矫
硤	硖
碁	棋	碁
鮑	鲍
碩	硕
纖	纤
磾	䃅
禱	祷
祕	秘
魯	鲁
戸	户	戸
樞	枢
蕭	萧
祿	禄
禦	御
禪	禅
籟	籁
稈	秆
隱	隐
楓	枫
遜	逊
贊	赞
鈎	钩
窺	窥
贖	赎
錐	锥
競	竞
籤	签
罷	罢
賬	账
誠	诚
篩	筛
簍	篓
簞	箪
銳	锐
糴	籴
糾	纠
噹	当
鱒	鳟
緋	绯
鸛	鹳
純	纯
錠	锭
鎮	镇
紥	扎
緻	致
膩	腻
絹	绢
綁	绑
綸	纶
緯	纬
綜	综
綢	绸
綵	彩	䌽
綽	绰
綾	绫
緞	缎
綿	绵
緩	缓
緬	缅
練	练
縈	萦
縉	缙
紳	绅
闔	阖
縷	缕
繡	绣
繫	系
纍	累
贅	赘
羈	羁
奐	奂
衆	衆	众
濱	滨
撾	挝
鵬	鹏
齧	啮	齧
桿	杆
穌	稣
聰	聪
診	诊
瘍	疡
襲	袭
註	注
膚	肤
膿	脓
臉	脸
臚	胪
臥	卧	臥
犢	犊
駒	驹
蕪	芜
菢	抱	菢
薘	荙
菸	烟	菸
鹼	碱	硷
蹤	踪
謙	谦
蘊	蕴	蘊
蒔	莳
婁	娄
蔞	蒌
蔣	蒋
蔥	葱
薰	薰	熏
藉	藉	借
鋒	锋
藴	蕴	藴
蘋	苹	𬞟
蘢	茏
蛻	蜕
餡	馅
饊	馓
蜑	蛋	蜑
蝸	蜗
螄	蛳
螢	萤
蠶	蚕
鯨	鲸
軀	躯
閃	闪
衕	同	衕
襤	褴
鈕	钮
複	复
訛	讹
訶	诃
釋	释
詎	讵
詐	诈
諦	谛
詫	诧
姦	奸
諂	谄
諛	谀
鎗	鎗	枪
諢	诨
諱	讳
諷	讽
謁	谒
謄	誊
謗	谤
謠	谣
譁	哗
譏	讥
譖	谮
趙	赵
譚	谭
譯	译
讕	谰
讚	赞
鯪	鲮
豈	岂
豎	竖
豔	艳
玀	猡
頑	顽
貧	贫
賄	贿
贓	赃
貯	贮
飽	饱	飽
貸	贷
賑	赈
賒	赊
賜	赐
賦	赋
賺	赚
贈	赠
閱	阅
頌	颂
贔	赑
鱲	鱲	𫚭
趕	赶
櫳	栊
餵	喂
遙	遥
躍	跃
砲	炮
廂	厢
軑	轪
軫	轸
較	较
輓	挽
飄	飘
輜	辎
輿	舆
轄	辖
轇	𫐖	轇
這	这
貫	贯
遼	辽
晉	晋
鄧	邓
樺	桦
醃	腌
醖	酝	醖
嘯	啸
餌	饵
鈒	钑
鉛	铅
礦	矿
鱈	鳕
銻	锑
鋅	锌
鍍	镀
鍛	锻
鎚	锤
鎢	钨
鏘	锵
鏢	镖
鏨	錾
鏺	䥽
鐃	铙
鈸	钹
鐳	镭
鑌	镔
鑠	铄
钂	镋
籐	藤
閂	闩
閏	闰
閔	闵
騫	骞
閨	闺
閹	阉
闃	阒
礫	砾
闖	闯
鍵	键
騭	骘
嫻	娴
煒	炜
綺	绮
貞	贞
瑩	莹
鄰	邻
攜	携
雖	虽
猶	犹
雛	雏
燙	烫
靂	雳
韃	鞑
韓	韩
韞	韫
韮	韭
頁	页
繳	缴
頒	颁
頰	颊
頹	颓
顒	颙
颶	飓
餬	糊
飢	饥
鴆	鸩
燻	熏
餛	馄
飩	饨
飼	饲
餿	馊
饉	馑
饒	饶
濃	浓
檻	槛
馮	冯
駐	驻
駟	驷
駢	骈
騸	骟
驍	骁
訝	讶
驛	驿
驥	骥
龕	龛
痺	痹	痺
髏	髅
髪	发	髪
鬩	阋
倆	俩
鰓	鳃
鯇	鲩
鯉	鲤
鯛	鲷
鯢	鲵
鯿	鳊
鰂	鲗
鰥	鳏
鰨	鳎
鱗	鳞
鱟	鲎
嗚	呜
鵂	鸺
鵠	鹄
鵃	鸼
鵪	鹌
鶉	鹑
鵰	雕
鵲	鹊
鶻	鹘
鶼	鹣
鰈	鲽
鷺	鹭
鷥	鸶
鸚	鹦
鸞	鸾
鹵	卤
梟	枭
霑	沾
驊	骅
綴	缀
黴	霉
譟	噪
齙	龅
齠	龆
繃	绷
㑳	㑇
㑺	俊
㒺	罔
㓂	寇
㕁	却
㕑	厨
㕥	㕥	以
㘭	坳
㝛	宿
㝠	冥
㝡	最
㞞	𪨊
㟁	岸
㠀	岛
㠯	以
㠶	帆
㡌	帽
㢘	廉
㢠	迥
㤙	恩
㥦	惬
㧱	拿
㨗	捷
㨪	晃
㨿	据
㩗	携
㩜	㨫
㩦	携
㪚	散
㪟	敦
㬉	暖
㯭	橹
㱃	饮
㳄	涎
㳒	法
㴱	深
㵎	涧
㼝	碗
㽞	留
㿜	瘪
䈰	筲
䊀	糊
䗬	蜂
䘏	恤
䘑	脉
䘚	卒
䛐	词
䝔	獾
䠀	䠀	趟
䠶	射
䥑	鿏
䥥	镰
䬃	飒
䭾	驮
䰟	魂
䰾	鲃
䳘	鹅
䴉	鹮
鷸	鹬
䴸	麸
䶊	衄
鍋	锅
貶	贬
頃	顷
鑰	钥
轍	辙
螞	蚂
趨	趋
瞭	瞭	了
顆	颗
鬨	哄
艱	艰
韙	韪
葷	荤
鰻	鳗
屜	屉
壩	坝
鷗	鸥
鵐	鹀
瞼	睑
蒼	苍
傚	效
頜	颌
頷	颔
齦	龈
頦	颏
獄	狱
詔	诏
錨	锚
匱	匮
輊	轾
慄	栗
況	况
脛	胫
饅	馒
諳	谙
貲	赀
輟	辍
鉞	钺
銹	锈
氫	氢
蠑	蝾
壢	坜
嶽	岳
鵑	鹃
鶲	鹟
鶯	莺
擱	搁
曠	旷
乹	乾	干
噦	哕
癟	瘪
餾	馏
亁	乾	干
竄	窜
噁	恶	𫫇
鈦	钛
鈾	铀
錳	锰
鈉	钠
諉	诿
繽	缤
釩	钒
癆	痨
陘	陉
亙	亘
亝	亝	斋
鵡	鹉
綬	绶
彙	汇
滬	沪
菴	菴	庵
鋥	锃
亯	享
亱	夜
亷	廉
亾	亡
訖	讫
鶇	鸫
瓊	琼
閫	阃
馭	驭
眥	眦
饗	飨
儷	俪
犧	牺
謨	谟
伕	伕	夫
茲	兹	茲
侶	侣
佀	似
佇	伫
盧	卢
窪	洼
齲	龋
貳	贰
鏵	铧
繭	茧
踐	践
餚	肴
鈷	钴
侷	局
箋	笺
俁	俣
俔	伣
諺	谚
俛	俛	俯
鑣	镳
繕	缮
俲	效
俻	备
倀	伥
廩	廪
鴞	鸮
倐	倏
儻	傥
澆	浇
倣	仿
傯	偬
倸	睬
頗	颇
偘	侃
緝	缉
偺	咱
傌	㐷
誦	诵
篋	箧
儸	㑩
僉	佥
僊	仙
麽	么	麽
僞	伪
僤	𫢸
僥	侥
僨	偾
隴	陇
儁	俊
儂	侬
儈	侩
儎	傤
儐	傧
儔	俦
儗	拟
儘	尽
儵	倏
儺	傩
鷲	鹫
勳	勋
彞	彝
槃	槃	盘
霽	霁
懞	蒙	懞
兌	兑
兎	兔
兗	兖
兠	兜
訌	讧
煥	焕
殲	歼
棲	栖
噸	吨
畝	亩
韜	韬
軛	轭
鑄	铸
冄	冉
冐	冒
冣	冣	最
誣	诬
蟄	蛰
磧	碛
鑹	镩
颼	飕
冺	泯
濛	蒙
凢	凡
凴	凭
櫱	蘖
訟	讼
槳	桨
幟	帜
刦	劫
刧	劫
莧	苋
蝟	猬
鶩	鹜
刼	劫
剄	刭
剉	锉
剋	克
翹	翘
剏	创
剗	刬
剙	创
訥	讷
纔	才
剮	剐
剳	剳	札
剴	剀
剹	戮
鶚	鹗
劊	刽
劌	刿
鶥	鹛
鴴	鸻
劒	剑
簣	篑
磯	矶
劵	券	劵
勅	敕
勌	倦
勑	敕
輒	辄
餒	馁
勠	戮
勣	𪟝
勦	剿
勩	勚
勱	劢
勲	勋
誡	诫
匃	丐
匄	丐
閥	阀
鴝	鸲
鷚	鹨
匟	炕
匭	匦
攏	拢
匲	奁
匳	奁
齷	龌
齪	龊
潯	浔
譙	谯
贍	赡
轅	辕
鰲	鳌
駱	骆
襖	袄
鸝	鹂
簾	帘
鵜	鹈
鶘	鹕
卹	恤
厀	膝
厙	厍
葦	苇
諒	谅
厤	历
橢	椭
叅	参
芻	刍
詰	诘
諜	谍
饋	馈
締	缔
叚	假
叡	睿
硯	砚
箏	筝
縴	纤
藺	蔺
驪	骊
嚀	咛
滲	渗
幀	帧
巹	卺
滌	涤
襠	裆
愾	忾
諮	谘
韁	缰
邇	迩
吚	咿
嗇	啬
嚥	咽
雋	隽
燐	燐	磷
鈣	钙
簫	箫
閭	闾
韋	韦
呌	叫
呪	咒
嗶	哔
囁	嗫
譴	谴
咊	和
闐	阗
詛	诅
噠	哒
噥	哝
嚙	啮
咲	笑
嗆	呛
咷	啕
咼	呙
慟	恸
哶	咩
唄	呗
肅	肃
唕	唣
唘	啓
唚	吣
唫	吟	唫
飆	飙
啑	喋
啗	啖
啢	唡
啣	衔
囀	啭
崑	昆
喆	哲	喆
喒	咱
鵟	鵟	𫛭
樅	枞
皰	疱
鉻	铬
嗁	啼
嗊	唝
詬	诟
嗩	唢
嘊	啀
嘑	呼
嘓	啯
嘠	嘎
謔	谑
饞	馋
嘵	哓
嘷	嗥
嘽	啴
噘	噘	撅
噝	咝
噯	嗳
噲	哙
嚌	哜
囌	苏
